Depth,Orientation,FL,FR,DL,DR
0.00,0.00,1500,1500,1800,1800
0.00,0.00,1500,1500,1800,1800
0.00,0.00,1500,1500,1800,1800
0.00,0.00,1500,1500,1800,1800
366518.90,19.56,1500,1500,1800,1800
366518.90,19.50,1500,1500,1800,1800
366518.90,19.50,1500,1500,1800,1800
366518.90,19.62,1500,1500,1800,1800
366518.90,19.75,1500,1500,1800,1800
366518.90,19.87,1500,1500,1800,1800
366518.90,20.12,1500,1500,1800,1800
366518.90,20.56,1500,1500,1800,1800
366518.90,21.12,1500,1500,1800,1800
366518.90,21.69,1500,1500,1800,1800
366518.90,22.31,1500,1500,1800,1800
366518.90,22.69,1500,1500,1800,1800
366518.90,23.06,1500,1500,1800,1800
366518.90,23.12,1500,1500,1800,1800
366518.90,22.87,1500,1500,1800,1800
366518.90,22.31,1500,1500,1800,1800
366518.90,21.81,1500,1500,1800,1800
366518.90,21.37,1500,1500,1800,1800
366518.90,21.00,1500,1500,1800,1800
366518.90,20.62,1500,1500,1800,1800
366518.90,20.25,1500,1500,1800,1800
366518.90,20.19,1500,1500,1800,1800
366518.90,20.31,1500,1500,1800,1800
366518.90,20.31,1500,1500,1800,1800
366518.90,20.19,1500,1500,1800,1800
366518.90,20.12,1500,1500,1800,1800
366518.90,20.25,1500,1500,1800,1800
366518.90,20.31,1500,1500,1800,1800
366518.90,20.31,1500,1500,1800,1800
366518.90,20.25,1500,1500,1800,1800
366518.90,20.06,1500,1500,1800,1800
366518.90,20.06,1500,1500,1800,1800
366518.90,20.12,1500,1500,1800,1800
366518.90,20.25,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.44,1500,1500,1800,1800
366518.90,20.44,1500,1500,1800,1800
366518.90,20.44,1500,1500,1800,1800
366518.90,20.44,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.37,1500,1500,1800,1800
366518.90,20.50,1500,1500,1800,1800
366518.90,20.50,1500,1500,1800,1800
366518.90,20.50,1500,1500,1800,1800
366518.90,20.62,1500,1500,1800,1800
366518.90,20.81,1500,1500,1800,1800
366518.90,21.06,1500,1500,1800,1800
366518.90,21.56,1500,1500,1800,1800
366518.90,22.06,1500,1500,1800,1800
366518.90,22.56,1500,1500,1800,1800
366518.90,22.94,1500,1500,1800,1800
366518.90,23.12,1500,1500,1800,1800
366518.90,23.00,1500,1500,1800,1800
366518.90,22.50,1500,1500,1800,1800
366518.90,21.44,1500,1500,1800,1800
366518.90,20.81,1500,1500,1800,1800
366518.90,20.25,1500,1500,1800,1800
366518.90,19.75,1500,1500,1800,1800
366518.90,19.50,1500,1500,1800,1800
366518.90,19.31,1500,1500,1800,1800
366518.90,19.19,1500,1500,1800,1800
366518.90,19.00,1500,1500,1800,1800
366518.90,18.87,1500,1500,1800,1800
366518.90,18.69,1500,1500,1800,1800
366518.90,18.37,1500,1500,1800,1800
366518.90,18.19,1500,1500,1800,1800
366518.90,17.94,1500,1500,1800,1800
366518.90,17.62,1500,1500,1800,1800
366518.90,17.44,1500,1500,1800,1800
366518.90,17.25,1500,1500,1800,1800
366518.90,17.12,1500,1500,1800,1800
366518.90,17.12,1500,1500,1800,1800
366518.90,17.12,1500,1500,1800,1800
366518.90,17.19,1500,1500,1800,1800
366518.90,17.19,1500,1500,1800,1800
366518.90,17.25,1500,1500,1800,1800
366518.90,17.37,1500,1500,1800,1800
366518.90,17.62,1500,1500,1800,1800
366518.90,17.81,1500,1500,1800,1800
366518.90,17.94,1500,1500,1800,1800
366518.90,17.94,1500,1500,1800,1800
366518.90,17.94,1500,1500,1800,1800
366518.90,18.06,1500,1500,1800,1800
366518.90,18.19,1500,1500,1800,1800
366518.90,18.19,1500,1500,1800,1800
366518.90,18.19,1500,1500,1800,1800
366518.90,18.19,1500,1500,1800,1800
366518.90,18.19,1500,1500,1800,1800
366518.90,18.19,1500,1500,1800,1800
366518.90,18.19,1500,1500,1800,1800
366518.90,18.12,1500,1500,1800,1800
366518.90,18.00,1500,1500,1800,1800
366518.90,17.87,1500,1500,1800,1800
366518.90,17.69,1500,1500,1800,1800
366518.90,17.31,1500,1500,1800,1800
366518.90,17.06,1500,1500,1800,1800
366518.90,16.69,1500,1500,1800,1800
366518.90,16.06,1500,1500,1800,1800
366518.90,15.31,1500,1500,1800,1800
366518.90,14.75,1500,1500,1800,1800
366518.90,13.88,1500,1500,1800,1800
366518.90,12.88,1500,1500,1800,1800
366518.90,11.56,1500,1500,1800,1800
366518.90,10.19,1500,1500,1800,1800
366518.90,8.25,1500,1500,1800,1800
366518.90,6.81,1500,1500,1800,1800
366518.90,5.31,1500,1500,1800,1800
366518.90,3.69,1500,1500,1800,1800
366518.90,2.25,1500,1500,1800,1800
366518.90,0.81,1500,1500,1800,1800
366518.90,-0.44,1500,1500,1800,1800
366518.90,-1.19,1500,1500,1800,1800
366518.90,-1.00,1500,1500,1800,1800
366518.90,-1.06,1500,1500,1800,1800
366518.90,-1.06,1500,1500,1800,1800
366518.90,-1.00,1500,1500,1800,1800
366518.90,-0.94,1500,1500,1800,1800
366518.90,-0.75,1500,1500,1800,1800
366518.90,-0.37,1500,1500,1800,1800
366518.90,0.37,1500,1500,1800,1800
366518.90,1.50,1500,1500,1800,1800
