Orientation, FL, FR, DL, DR
0.00,1500,1500,1594,1594
0.00,1500,1500,1554,1554
0.00,1500,1500,1558,1558
0.00,1500,1500,1563,1563
-3.06,1500,1500,1570,1570
-3.19,1500,1500,1573,1573
-3.19,1500,1500,1578,1578
-3.19,1500,1500,1583,1583
-3.06,1500,1500,1587,1587
-3.06,1500,1500,1592,1592
-3.06,1500,1500,1597,1597
-3.13,1500,1500,1601,1601
-3.19,1500,1500,1606,1606
-3.31,1500,1500,1611,1611
-3.44,1500,1500,1616,1616
-3.38,1500,1500,1620,1620
-3.31,1500,1500,1625,1625
-3.13,1500,1500,1629,1629
-3.00,1500,1500,1634,1634
-3.00,1500,1500,1639,1639
-3.00,1500,1500,1643,1643
-3.00,1500,1500,1648,1648
-3.06,1500,1500,1653,1653
-3.06,1500,1500,1657,1657
-2.94,1500,1500,1662,1662
-2.75,1500,1500,1666,1666
-2.69,1500,1500,1671,1671
-2.63,1500,1500,1675,1675
-2.75,1500,1500,1680,1680
-2.94,1500,1500,1685,1685
-3.19,1500,1500,1690,1690
-3.38,1500,1500,1695,1695
-3.44,1500,1500,1699,1699
-3.38,1500,1500,1704,1704
-3.25,1500,1500,1708,1708
-3.00,1500,1500,1713,1713
-2.81,1500,1500,1717,1717
-2.63,1500,1500,1722,1722
-2.63,1500,1500,1727,1727
-2.69,1500,1500,1731,1731
-2.88,1500,1500,1736,1736
-3.06,1500,1500,1741,1741
-3.25,1500,1500,1746,1746
-3.25,1500,1500,1750,1750
-3.25,1500,1500,1755,1755
-3.19,1500,1500,1760,1760
-3.06,1500,1500,1764,1764
-3.00,1500,1500,1769,1769
-3.00,1500,1500,1773,1773
-3.00,1500,1500,1778,1778
-3.13,1500,1500,1783,1783
-3.19,1500,1500,1787,1787
-3.25,1500,1500,1792,1792
-3.25,1500,1500,1797,1797
-3.25,1500,1500,1800,1800
-3.25,1500,1500,1800,1800
-3.25,1500,1500,1800,1800
-3.19,1500,1500,1800,1800
-3.13,1500,1500,1800,1800
-3.00,1500,1500,1800,1800
-3.00,1500,1500,1800,1800
-3.06,1500,1500,1800,1800
-3.19,1500,1500,1800,1800
-3.31,1500,1500,1800,1800
-3.44,1500,1500,1800,1800
-3.56,1500,1500,1800,1800
-3.50,1500,1500,1800,1800
-3.38,1500,1500,1800,1800
-3.19,1500,1500,1800,1800
-3.00,1500,1500,1800,1800
-2.88,1500,1500,1800,1800
-2.81,1500,1500,1800,1800
-2.81,1500,1500,1800,1800
-3.00,1500,1500,1800,1800
-3.19,1500,1500,1800,1800
-3.38,1500,1500,1800,1800
-3.50,1500,1500,1800,1800
-3.50,1500,1500,1800,1800
-3.44,1500,1500,1800,1800
-3.31,1500,1500,1800,1800
-3.19,1500,1500,1800,1800
-3.00,1500,1500,1800,1800
-3.00,1500,1500,1800,1800
-3.00,1500,1500,1800,1800
-3.13,1500,1500,1800,1800
-3.25,1500,1500,1800,1800
-3.38,1500,1500,1800,1800
-3.38,1500,1500,1800,1800
-3.38,1500,1500,1800,1800
-3.25,1500,1500,1800,1800
-3.13,1500,1500,1800,1800
-3.00,1500,1500,1800,1800
-2.94,1500,1500,1800,1800
-2.94,1500,1500,1800,1800
-3.06,1500,1500,1800,1800
-3.25,1500,1500,1800,1800
-3.44,1500,1500,1800,1800
-3.56,1500,1500,1800,1800
-3.56,1500,1500,1800,1800
-3.50,1500,1500,1800,1800
-3.31,1500,1500,1800,1800
-3.13,1500,1500,1800,1800
-3.00,1500,1500,1800,1800
-3.00,1500,1500,1800,1800
-3.00,1500,1500,1800,1800
-3.00,1500,1500,1800,1800
-3.00,1500,1500,1800,1800
-3.00,1500,1500,1800,1800
-3.00,1500,1500,1800,1800
-3.00,1500,1500,1800,1800
-3.00,1500,1500,1800,1800
-3.00,1500,1500,1800,1800
-3.00,1500,1500,1800,1800
-3.00,1500,1500,1800,1800
-3.00,1500,1500,1800,1800
-3.00,1500,1500,1800,1800
-3.00,1500,1500,1800,1800
-3.00,1500,1500,1800,1800
-3.00,1500,1500,1800,1800
-3.00,1500,1500,1800,1800
-3.00,1500,1500,1800,1800
-3.06,1500,1500,1800,1800
-3.19,1500,1500,1800,1800
-3.25,1500,1500,1800,1800
-3.31,1500,1500,1800,1800
-3.31,1500,1500,1800,1800
-3.31,1500,1500,1800,1800
-3.31,1500,1500,1800,1800
-3.38,1500,1500,1800,1800
-3.50,1500,1500,1800,1800
-3.63,1500,1500,1800,1800
-3.69,1500,1500,1800,1800
-3.69,1500,1500,1800,1800
-3.63,1500,1500,1800,1800
-3.56,1500,1500,1800,1800
-3.44,1500,1500,1800,1800
-3.31,1500,1500,1800,1800
-3.31,1500,1500,1800,1800
-3.31,1500,1500,1800,1800
