Orientation, FL, FR, DL, DR
-1.00,1500,1500,1700,1700
-0.63,1500,1500,1717,1717
-0.19,1500,1500,1734,1734
0.00,1500,1500,1752,1752
0.12,1500,1500,1770,1770
0.06,1500,1500,1788,1788
-0.25,1500,1500,1800,1800
-0.75,1500,1500,1800,1800
-1.25,1500,1500,1800,1800
-0.88,1500,1500,1800,1800
0.31,1500,1500,1800,1800
2.13,1500,1500,1800,1800
3.81,1500,1500,1800,1800
5.75,1500,1500,1800,1800
8.25,1500,1500,1800,1800
10.69,1500,1500,1800,1800
13.50,1500,1500,1800,1800
15.94,1500,1500,1800,1800
18.44,1500,1500,1800,1800
20.31,1500,1500,1800,1800
21.87,1500,1500,1800,1800
23.31,1500,1500,1800,1800
24.37,1500,1500,1800,1800
25.25,1500,1500,1800,1800
26.19,1500,1500,1800,1800
27.06,1500,1500,1800,1800
27.94,1500,1500,1800,1800
28.81,1500,1500,1800,1800
29.56,1500,1500,1800,1800
30.19,1500,1500,1800,1800
30.75,1500,1500,1800,1800
31.31,1500,1500,1800,1800
31.87,1500,1500,1800,1800
32.50,1500,1500,1800,1800
33.13,1500,1500,1800,1800
33.50,1500,1500,1800,1800
33.69,1500,1500,1800,1800
33.75,1500,1500,1800,1800
33.63,1500,1500,1800,1800
33.50,1500,1500,1800,1800
33.38,1500,1500,1800,1800
33.31,1500,1500,1800,1800
33.19,1500,1500,1800,1800
33.13,1500,1500,1800,1800
33.06,1500,1500,1800,1800
32.94,1500,1500,1800,1800
32.94,1500,1500,1800,1800
32.88,1500,1500,1800,1800
32.81,1500,1500,1800,1800
32.75,1500,1500,1800,1800
32.81,1500,1500,1800,1800
32.94,1500,1500,1800,1800
33.00,1500,1500,1800,1800
32.94,1500,1500,1800,1800
32.75,1500,1500,1800,1800
32.38,1500,1500,1800,1800
32.06,1500,1500,1800,1800
31.69,1500,1500,1800,1800
31.37,1500,1500,1800,1800
31.19,1500,1500,1800,1800
30.44,1500,1500,1800,1800
30.19,1500,1500,1800,1800
30.06,1500,1500,1800,1800
30.25,1500,1500,1800,1800
33.19,1500,1500,1800,1800
36.75,1500,1500,1800,1800
41.50,1500,1500,1800,1800
46.19,1500,1500,1800,1800
51.63,1500,1500,1800,1800
56.56,1500,1500,1800,1800
61.63,1500,1500,1800,1800
65.81,1500,1500,1800,1800
68.94,1500,1500,1800,1800
72.56,1500,1500,1800,1800
74.56,1500,1500,1800,1800
76.62,1500,1500,1800,1800
77.87,1500,1500,1800,1800
80.37,1500,1500,1800,1800
83.00,1500,1500,1800,1800
85.62,1500,1500,1800,1800
86.87,1500,1500,1800,1800
88.06,1500,1500,1800,1800
88.56,1500,1500,1800,1800
88.81,1500,1500,1800,1800
88.50,1500,1500,1800,1800
87.75,1500,1500,1800,1800
86.19,1500,1500,1800,1800
84.50,1500,1500,1800,1800
