Orientation, FL, FR, DL, DR
40.69,1500,1500,1556,1556
40.44,1500,1500,1559,1559
40.13,1500,1500,1564,1564
39.88,1500,1500,1570,1570
39.63,1500,1500,1575,1575
39.31,1500,1500,1580,1580
39.06,1500,1500,1586,1586
38.81,1500,1500,1591,1591
38.75,1500,1500,1596,1596
39.06,1500,1500,1601,1601
39.75,1500,1500,1605,1605
40.81,1500,1500,1609,1609
42.13,1500,1500,1612,1612
43.88,1500,1500,1615,1615
45.69,1500,1500,1618,1618
47.69,1500,1500,1620,1620
49.88,1500,1500,1622,1622
51.94,1500,1500,1624,1624
53.88,1500,1500,1625,1625
56.06,1500,1500,1627,1627
57.94,1500,1500,1628,1628
59.81,1500,1500,1629,1629
61.75,1500,1500,1630,1630
63.50,1500,1500,1631,1631
65.50,1500,1500,1632,1632
67.31,1500,1500,1632,1632
69.19,1500,1500,1632,1632
71.25,1500,1500,1632,1632
73.12,1500,1500,1632,1632
75.25,1500,1500,1631,1631
77.12,1500,1500,1630,1630
79.00,1500,1500,1630,1630
80.94,1500,1500,1629,1629
82.62,1500,1500,1628,1628
84.12,1500,1500,1627,1627
85.56,1500,1500,1626,1626
86.69,1500,1500,1625,1625
87.87,1500,1500,1624,1624
88.94,1500,1500,1623,1623
89.75,1500,1500,1622,1622
90.44,1500,1500,1622,1622
90.94,1500,1500,1621,1621
91.31,1500,1500,1621,1621
91.50,1500,1500,1620,1620
91.62,1500,1500,1620,1620
91.69,1500,1500,1620,1620
91.56,1500,1500,1620,1620
91.44,1500,1500,1620,1620
91.19,1500,1500,1620,1620
91.00,1500,1500,1620,1620
90.81,1500,1500,1620,1620
90.62,1500,1500,1620,1620
90.56,1500,1500,1620,1620
90.50,1500,1500,1620,1620
90.56,1500,1500,1620,1620
90.62,1500,1500,1620,1620
90.81,1500,1500,1620,1620
91.00,1500,1500,1619,1619
91.25,1500,1500,1619,1619
91.50,1500,1500,1618,1618
91.69,1500,1500,1618,1618
91.94,1500,1500,1618,1618
92.12,1500,1500,1617,1617
92.31,1500,1500,1617,1617
92.44,1500,1500,1616,1616
92.50,1500,1500,1616,1616
92.50,1500,1500,1616,1616
92.44,1500,1500,1616,1616
92.31,1500,1500,1616,1616
92.06,1500,1500,1616,1616
91.81,1500,1500,1616,1616
91.56,1500,1500,1616,1616
91.19,1500,1500,1616,1616
90.81,1500,1500,1616,1616
90.37,1500,1500,1617,1617
89.87,1500,1500,1617,1617
89.44,1500,1500,1618,1618
88.94,1500,1500,1618,1618
88.37,1500,1500,1619,1619
