Orientation, FL, FR, DL, DR
15.06,1500,1500,1586,1586
14.88,1500,1500,1590,1590
14.69,1500,1500,1597,1597
14.56,1500,1500,1605,1605
14.38,1500,1500,1613,1613
14.25,1500,1500,1620,1620
14.13,1500,1500,1628,1628
14.00,1500,1500,1636,1636
14.19,1500,1500,1643,1643
15.00,1500,1500,1650,1650
16.62,1500,1500,1656,1656
18.56,1500,1500,1661,1661
20.81,1500,1500,1665,1665
23.37,1500,1500,1670,1670
25.75,1500,1500,1674,1674
28.37,1500,1500,1677,1677
30.75,1500,1500,1681,1681
33.19,1500,1500,1684,1684
36.00,1500,1500,1687,1687
38.56,1500,1500,1689,1689
41.25,1500,1500,1691,1691
44.38,1500,1500,1693,1693
47.25,1500,1500,1694,1694
50.75,1500,1500,1695,1695
54.06,1500,1500,1695,1695
57.56,1500,1500,1695,1695
61.63,1500,1500,1693,1693
65.37,1500,1500,1692,1692
69.62,1500,1500,1690,1690
73.56,1500,1500,1688,1688
77.50,1500,1500,1685,1685
81.81,1500,1500,1681,1681
85.62,1500,1500,1678,1678
89.06,1500,1500,1675,1675
93.00,1500,1500,1670,1670
96.50,1500,1500,1666,1666
100.19,1500,1500,1662,1662
103.44,1500,1500,1657,1657
106.44,1500,1500,1652,1652
109.50,1500,1500,1647,1647
112.00,1500,1500,1643,1643
114.44,1500,1500,1638,1638
116.25,1500,1500,1633,1633
117.56,1500,1500,1629,1629
118.69,1500,1500,1625,1625
119.06,1500,1500,1622,1622
118.69,1500,1500,1620,1620
117.19,1500,1500,1619,1619
114.50,1500,1500,1619,1619
109.56,1500,1500,1621,1621
102.75,1500,1500,1628,1628
92.87,1500,1500,1636,1636
82.69,1500,1500,1648,1648
73.12,1500,1500,1659,1659
65.31,1500,1500,1669,1669
61.25,1500,1500,1676,1676
60.19,1500,1500,1680,1680
61.63,1500,1500,1681,1681
64.69,1500,1500,1681,1681
68.81,1500,1500,1679,1679
73.81,1500,1500,1675,1675
78.44,1500,1500,1672,1672
83.44,1500,1500,1668,1668
87.50,1500,1500,1664,1664
91.87,1500,1500,1660,1660
95.62,1500,1500,1655,1655
99.12,1500,1500,1651,1651
102.69,1500,1500,1646,1646
105.50,1500,1500,1641,1641
108.12,1500,1500,1637,1637
110.62,1500,1500,1632,1632
112.62,1500,1500,1628,1628
114.31,1500,1500,1624,1624
115.87,1500,1500,1620,1620
116.94,1500,1500,1616,1616
117.81,1500,1500,1613,1613
118.06,1500,1500,1610,1610
118.06,1500,1500,1607,1607
117.62,1500,1500,1604,1604
116.62,1500,1500,1603,1603
114.69,1500,1500,1602,1602
111.94,1500,1500,1603,1603
108.12,1500,1500,1605,1605
102.50,1500,1500,1609,1609
96.12,1500,1500,1615,1615
88.69,1500,1500,1623,1623
80.37,1500,1500,1632,1632
73.00,1500,1500,1641,1641
66.69,1500,1500,1649,1649
62.69,1500,1500,1656,1656
60.38,1500,1500,1661,1661
59.75,1500,1500,1665,1665
60.56,1500,1500,1667,1667
62.44,1500,1500,1668,1668
64.69,1500,1500,1668,1668
67.12,1500,1500,1668,1668
69.75,1500,1500,1667,1667
72.00,1500,1500,1667,1667
74.06,1500,1500,1667,1667
76.19,1500,1500,1666,1666
78.12,1500,1500,1665,1665
80.06,1500,1500,1664,1664
82.12,1500,1500,1663,1663
83.94,1500,1500,1662,1662
85.94,1500,1500,1660,1660
87.69,1500,1500,1659,1659
89.44,1500,1500,1657,1657
90.87,1500,1500,1655,1655
92.06,1500,1500,1654,1654
92.87,1500,1500,1653,1653
92.94,1500,1500,1653,1653
92.19,1500,1500,1653,1653
90.31,1500,1500,1655,1655
87.56,1500,1500,1658,1658
84.00,1500,1500,1662,1662
79.44,1500,1500,1668,1668
75.31,1500,1500,1673,1673
71.44,1500,1500,1679,1679
69.00,1500,1500,1684,1684
67.69,1500,1500,1687,1687
67.81,1500,1500,1689,1689
69.06,1500,1500,1690,1690
71.44,1500,1500,1690,1690
74.19,1500,1500,1688,1688
77.31,1500,1500,1686,1686
80.94,1500,1500,1684,1684
84.44,1500,1500,1681,1681
87.87,1500,1500,1677,1677
91.75,1500,1500,1673,1673
95.19,1500,1500,1669,1669
98.87,1500,1500,1665,1665
102.00,1500,1500,1661,1661
105.12,1500,1500,1656,1656
107.81,1500,1500,1652,1652
110.25,1500,1500,1647,1647
112.62,1500,1500,1642,1642
114.37,1500,1500,1638,1638
115.56,1500,1500,1635,1635
116.25,1500,1500,1631,1631
116.00,1500,1500,1629,1629
114.44,1500,1500,1628,1628
111.31,1500,1500,1629,1629
106.12,1500,1500,1633,1633
97.44,1500,1500,1641,1641
87.06,1500,1500,1652,1652
74.94,1500,1500,1665,1665
65.62,1500,1500,1677,1677
59.44,1500,1500,1686,1686
56.75,1500,1500,1692,1692
57.56,1500,1500,1694,1694
60.44,1500,1500,1694,1694
65.31,1500,1500,1692,1692
70.56,1500,1500,1688,1688
76.50,1500,1500,1684,1684
81.75,1500,1500,1679,1679
86.75,1500,1500,1675,1675
91.75,1500,1500,1670,1670
96.19,1500,1500,1665,1665
100.75,1500,1500,1659,1659
104.75,1500,1500,1654,1654
108.19,1500,1500,1648,1648
111.94,1500,1500,1642,1642
114.94,1500,1500,1637,1637
117.62,1500,1500,1631,1631
120.12,1500,1500,1626,1626
121.81,1500,1500,1621,1621
123.19,1500,1500,1616,1616
124.00,1500,1500,1612,1612
124.00,1500,1500,1609,1609
122.75,1500,1500,1607,1607
120.12,1500,1500,1607,1607
114.69,1500,1500,1609,1609
106.37,1500,1500,1616,1616
94.44,1500,1500,1628,1628
78.44,1500,1500,1644,1644
65.56,1500,1500,1661,1661
57.00,1500,1500,1672,1672
52.44,1500,1500,1680,1680
52.00,1500,1500,1684,1684
54.38,1500,1500,1686,1686
58.19,1500,1500,1685,1685
62.63,1500,1500,1683,1683
67.62,1500,1500,1680,1680
71.87,1500,1500,1678,1678
76.12,1500,1500,1675,1675
79.50,1500,1500,1673,1673
82.44,1500,1500,1670,1670
85.06,1500,1500,1669,1669
87.00,1500,1500,1667,1667
88.37,1500,1500,1666,1666
89.44,1500,1500,1665,1665
90.00,1500,1500,1664,1664
90.12,1500,1500,1664,1664
89.69,1500,1500,1664,1664
88.69,1500,1500,1666,1666
86.87,1500,1500,1668,1668
84.69,1500,1500,1670,1670
82.00,1500,1500,1674,1674
78.75,1500,1500,1678,1678
75.69,1500,1500,1683,1683
73.00,1500,1500,1687,1687
70.69,1500,1500,1691,1691
69.44,1500,1500,1695,1695
69.00,1500,1500,1697,1697
69.44,1500,1500,1699,1699
70.56,1500,1500,1700,1700
72.50,1500,1500,1699,1699
74.75,1500,1500,1699,1699
77.56,1500,1500,1697,1697
80.25,1500,1500,1695,1695
83.06,1500,1500,1693,1693
86.19,1500,1500,1690,1690
89.06,1500,1500,1688,1688
91.69,1500,1500,1685,1685
94.69,1500,1500,1681,1681
97.12,1500,1500,1678,1678
99.37,1500,1500,1675,1675
101.37,1500,1500,1672,1672
102.62,1500,1500,1669,1669
103.19,1500,1500,1668,1668
102.81,1500,1500,1667,1667
101.31,1500,1500,1667,1667
98.19,1500,1500,1670,1670
93.94,1500,1500,1673,1673
87.87,1500,1500,1679,1679
81.69,1500,1500,1687,1687
75.81,1500,1500,1694,1694
