Time(ms),Waypoint_id,Waypoint_lat,Waypoint_lon,Distance_to_wp(meters),Bearing(degrees),Current_lat,Current_lon,Heading(degrees),FL,FR,DL,DR
8898,0,36.6086311,-121.8794708,14989652.00,333.00,-99.0000000,-99.0000000,166.00,1900,1300,1500,1500
8912,0,36.6086311,-121.8794708,14989652.00,333.00,-99.0000000,-99.0000000,166.00,1900,1300,1500,1500
8926,0,36.6086311,-121.8794708,14989652.00,333.00,-99.0000000,-99.0000000,166.00,1900,1300,1500,1500
9115,0,36.6086311,-121.8794708,14989652.00,333.00,-99.0000000,-99.0000000,166.00,1900,1300,1500,1500
9192,0,36.6086311,-121.8794708,25.48,54.00,36.6084976,-121.8797073,166.00,1300,1900,1500,1500
10123,0,36.6086311,-121.8794708,25.48,54.00,36.6084976,-121.8797073,162.00,1300,1900,1500,1500
10200,0,36.6086311,-121.8794708,25.70,53.00,36.6084938,-121.8797073,161.00,1300,1900,1500,1500
11114,0,36.6086311,-121.8794708,25.70,53.00,36.6084938,-121.8797073,141.00,1300,1900,1500,1500
11191,0,36.6086311,-121.8794708,25.70,53.00,36.6084938,-121.8797073,139.00,1300,1900,1500,1500
12120,0,36.6086311,-121.8794708,25.70,53.00,36.6084938,-121.8797073,117.00,1386,1900,1500,1500
12196,0,36.6086311,-121.8794708,25.70,53.00,36.6084938,-121.8797073,116.00,1387,1900,1500,1500
13122,0,36.6086311,-121.8794708,25.70,53.00,36.6084938,-121.8797073,99.00,1470,1900,1500,1500
13198,0,36.6086311,-121.8794708,26.15,51.00,36.6084861,-121.8797073,98.00,1463,1900,1500,1500
14112,0,36.6086311,-121.8794708,26.15,51.00,36.6084861,-121.8797073,81.00,1546,1854,1500,1500
14189,0,36.6086311,-121.8794708,24.27,48.00,36.6084861,-121.8796844,80.00,1535,1865,1500,1500
15113,0,36.6086311,-121.8794708,24.27,48.00,36.6084861,-121.8796844,61.00,1629,1771,1500,1500
15187,0,36.6086311,-121.8794708,24.77,47.00,36.6084823,-121.8796844,60.00,1628,1772,1500,1500
16112,0,36.6086311,-121.8794708,24.77,47.00,36.6084823,-121.8796844,46.00,1698,1702,1500,1500
16189,0,36.6086311,-121.8794708,23.36,46.00,36.6084861,-121.8796691,45.00,1698,1702,1500,1500
17111,0,36.6086311,-121.8794708,23.36,46.00,36.6084861,-121.8796691,37.00,1738,1662,1500,1500
17186,0,36.6086311,-121.8794708,23.36,46.00,36.6084861,-121.8796691,36.00,1743,1657,1500,1500
18118,0,36.6086311,-121.8794708,23.36,46.00,36.6084861,-121.8796691,34.00,1754,1646,1500,1500
18195,0,36.6086311,-121.8794708,22.85,48.00,36.6084938,-121.8796691,34.00,1765,1635,1500,1500
19118,0,36.6086311,-121.8794708,22.85,48.00,36.6084938,-121.8796691,37.00,1750,1650,1500,1500
19192,0,36.6086311,-121.8794708,22.35,49.00,36.6085014,-121.8796691,38.00,1751,1649,1500,1500
20117,0,36.6086311,-121.8794708,22.35,49.00,36.6085014,-121.8796691,45.00,1716,1684,1500,1500
20193,0,36.6086311,-121.8794708,21.18,48.00,36.6085052,-121.8796539,45.00,1711,1689,1500,1500
21115,0,36.6086311,-121.8794708,21.18,48.00,36.6085052,-121.8796539,51.00,1682,1718,1500,1500
21189,0,36.6086311,-121.8794708,20.93,48.00,36.6085090,-121.8796539,51.00,1682,1718,1500,1500
22113,0,36.6086311,-121.8794708,20.93,48.00,36.6085090,-121.8796539,55.00,1662,1738,1500,1500
22188,0,36.6086311,-121.8794708,20.44,50.00,36.6085166,-121.8796539,55.00,1671,1729,1500,1500
23106,0,36.6086311,-121.8794708,20.44,50.00,36.6085166,-121.8796539,56.00,1666,1734,1500,1500
23181,0,36.6086311,-121.8794708,19.02,50.00,36.6085205,-121.8796386,56.00,1666,1734,1500,1500
24107,0,36.6086311,-121.8794708,19.02,50.00,36.6085205,-121.8796386,54.00,1675,1725,1500,1500
24181,0,36.6086311,-121.8794708,19.02,50.00,36.6085243,-121.8796386,53.00,1680,1720,1500,1500
25118,0,36.6086311,-121.8794708,19.02,50.00,36.6085243,-121.8796386,49.00,1700,1700,1500,1500
25193,0,36.6086311,-121.8794708,18.54,51.00,36.6085281,-121.8796386,49.00,1705,1695,1500,1500
26104,0,36.6086311,-121.8794708,18.54,51.00,36.6085281,-121.8796386,47.00,1715,1685,1500,1500
26179,0,36.6086311,-121.8794708,17.35,50.00,36.6085319,-121.8796234,47.00,1710,1690,1500,1500
27112,0,36.6086311,-121.8794708,17.35,50.00,36.6085319,-121.8796234,46.00,1715,1685,1500,1500
27188,0,36.6086311,-121.8794708,17.12,51.00,36.6085357,-121.8796234,46.00,1720,1680,1500,1500
28110,0,36.6086311,-121.8794708,17.12,51.00,36.6085357,-121.8796234,47.00,1716,1684,1500,1500
28186,0,36.6086311,-121.8794708,15.93,49.00,36.6085395,-121.8796081,47.00,1706,1694,1500,1500
29111,0,36.6086311,-121.8794708,15.93,49.00,36.6085395,-121.8796081,47.00,1706,1694,1500,1500
29188,0,36.6086311,-121.8794708,15.69,50.00,36.6085433,-121.8796081,47.00,1711,1689,1500,1500
30102,0,36.6086311,-121.8794708,15.69,50.00,36.6085433,-121.8796081,48.00,1706,1694,1500,1500
30177,0,36.6086311,-121.8794708,15.22,52.00,36.6085472,-121.8796081,48.00,1716,1684,1500,1500
31113,0,36.6086311,-121.8794708,15.22,52.00,36.6085472,-121.8796081,47.00,1721,1679,1500,1500
31187,0,36.6086311,-121.8794708,14.78,55.00,36.6085548,-121.8796081,47.00,1737,1663,1500,1500
32100,0,36.6086311,-121.8794708,14.78,55.00,36.6085548,-121.8796081,50.00,1722,1678,1500,1500
32175,0,36.6086311,-121.8794708,13.57,53.00,36.6085586,-121.8795928,50.00,1712,1688,1500,1500
33110,0,36.6086311,-121.8794708,13.57,53.00,36.6085586,-121.8795928,50.00,1712,1688,1500,1500
33183,0,36.6086311,-121.8794708,13.13,55.00,36.6085662,-121.8795928,50.00,1723,1677,1500,1500
34105,0,36.6086311,-121.8794708,13.13,55.00,36.6085662,-121.8795928,52.00,1713,1687,1500,1500
34179,0,36.6086311,-121.8794708,11.18,49.00,36.6085662,-121.8795700,52.00,1684,1716,1500,1500
35102,0,36.6086311,-121.8794708,11.18,49.00,36.6085662,-121.8795700,51.00,1688,1712,1500,1500
35178,0,36.6086311,-121.8794708,10.93,50.00,36.6085700,-121.8795700,51.00,1693,1707,1500,1500
36098,0,36.6086311,-121.8794708,10.93,50.00,36.6085700,-121.8795700,49.00,1703,1697,1500,1500
36173,0,36.6086311,-121.8794708,10.70,52.00,36.6085739,-121.8795700,49.00,1713,1687,1500,1500
37109,0,36.6086311,-121.8794708,10.70,52.00,36.6085739,-121.8795700,49.00,1713,1687,1500,1500
37184,0,36.6086311,-121.8794708,9.51,50.00,36.6085777,-121.8795547,49.00,1703,1697,1500,1500
