Time(ms),Waypoint_id,Waypoint_lat,Waypoint_lon,Distance_to_wp(meters),Bearing(degrees),Current_lat,Current_lon,Heading(degrees),FL,FR,DL,DR
8886,0,36.6086311,-121.8794708,14989652.00,333.00,-99.0000000,-99.0000000,165.00,1900,1300,1500,1500
8900,0,36.6086311,-121.8794708,14989652.00,333.00,-99.0000000,-99.0000000,165.00,1900,1300,1500,1500
9647,0,36.6086311,-121.8794708,14989652.00,333.00,-99.0000000,-99.0000000,160.00,1900,1300,1500,1500
9721,0,36.6086311,-121.8794708,13.79,52.00,36.6085548,-121.8795928,160.00,1300,1900,1500,1500
10651,0,36.6086311,-121.8794708,13.79,52.00,36.6085548,-121.8795928,148.00,1300,1900,1500,1500
10728,0,36.6086311,-121.8794708,13.79,52.00,36.6085548,-121.8795928,146.00,1300,1900,1500,1500
11651,0,36.6086311,-121.8794708,13.79,52.00,36.6085548,-121.8795928,124.00,1347,1900,1500,1500
11725,0,36.6086311,-121.8794708,13.79,52.00,36.6085548,-121.8795928,123.00,1349,1900,1500,1500
12651,0,36.6086311,-121.8794708,13.79,52.00,36.6085548,-121.8795928,106.00,1431,1900,1500,1500
12726,0,36.6086311,-121.8794708,12.49,42.00,36.6085472,-121.8795700,104.00,1388,1900,1500,1500
13649,0,36.6086311,-121.8794708,12.49,42.00,36.6085472,-121.8795700,92.00,1446,1900,1500,1500
13725,0,36.6086311,-121.8794708,13.05,40.00,36.6085433,-121.8795700,91.00,1438,1900,1500,1500
14642,0,36.6086311,-121.8794708,13.05,40.00,36.6085433,-121.8795700,73.00,1526,1874,1500,1500
14718,0,36.6086311,-121.8794708,13.05,40.00,36.6085433,-121.8795700,72.00,1530,1870,1500,1500
15638,0,36.6086311,-121.8794708,13.05,40.00,36.6085433,-121.8795700,62.00,1579,1821,1500,1500
15714,0,36.6086311,-121.8794708,12.29,36.00,36.6085433,-121.8795547,61.00,1562,1838,1500,1500
16638,0,36.6086311,-121.8794708,12.29,36.00,36.6085433,-121.8795547,48.00,1627,1773,1500,1500
16714,0,36.6086311,-121.8794708,12.29,36.00,36.6085433,-121.8795547,47.00,1631,1769,1500,1500
17643,0,36.6086311,-121.8794708,12.29,36.00,36.6085433,-121.8795547,37.00,1681,1719,1500,1500
17718,0,36.6086311,-121.8794708,11.69,38.00,36.6085472,-121.8795547,36.00,1696,1704,1500,1500
18638,0,36.6086311,-121.8794708,11.69,38.00,36.6085472,-121.8795547,32.00,1716,1684,1500,1500
18713,0,36.6086311,-121.8794708,11.10,41.00,36.6085548,-121.8795547,32.00,1731,1669,1500,1500
19636,0,36.6086311,-121.8794708,11.10,41.00,36.6085548,-121.8795547,32.00,1732,1668,1500,1500
19712,0,36.6086311,-121.8794708,10.04,38.00,36.6085586,-121.8795394,32.00,1717,1683,1500,1500
20636,0,36.6086311,-121.8794708,10.04,38.00,36.6085586,-121.8795394,32.00,1717,1683,1500,1500
20713,0,36.6086311,-121.8794708,9.74,38.00,36.6085624,-121.8795394,33.00,1712,1688,1500,1500
21636,0,36.6086311,-121.8794708,9.74,38.00,36.6085624,-121.8795394,34.00,1708,1692,1500,1500
21709,0,36.6086311,-121.8794708,9.45,39.00,36.6085662,-121.8795394,34.00,1713,1687,1500,1500
